,CID,Name,Party,last_name,first_name,crp_web_format
113,N00040733,"Gianforte, Greg",R,Gianforte,Greg,Greg-Gianforte
114,N00031128,"Gibbs, Bob",R,Gibbs,Bob,Bob-Gibbs
115,N00041668,"Golden, Jared",D,Golden,Jared,Jared-Golden
116,N00040597,"Gomez, Jimmy",D,Gomez,Jimmy,Jimmy-Gomez
117,N00041690,"Gonzalez, Anthony",R,Gonzalez,Anthony,Anthony-Gonzalez
118,N00038809,"Gonzalez, Vicente",D,Gonzalez,Vicente,Vicente-Gonzalez
119,N00042237,"Gooden, Lance",R,Gooden,Lance,Lance-Gooden
120,N00036944,"Gottheimer, Josh",D,Gottheimer,Josh,Josh-Gottheimer
121,N00008799,"Granger, Kay",R,Granger,Kay,Kay-Granger
122,N00036135,"Graves, Garret",R,Graves,Garret,Garret-Graves
123,N00013323,"Graves, Sam",R,Graves,Sam,Sam-Graves
124,N00030788,"Graves, Tom",R,Graves,Tom,Tom-Graves
125,N00026686,"Green, Al",D,Green,Al,Al-Green
126,N00041873,"Green, Mark",R,Green,Mark,Mark-Green
127,N00032029,"Griffith, Morgan",R,Griffith,Morgan,Morgan-Griffith
128,N00040933,"Haaland, Debra",D,Haaland,Debra,Debra-Haaland
129,N00031390,"Hagedorn, Jim",R,Hagedorn,Jim,Jim-Hagedorn
130,N00040853,"Harder, Josh",D,Harder,Josh,Josh-Harder
131,N00029147,"Harris, Andy",R,Harris,Andy,Andy-Harris
132,N00031005,"Hartzler, Vicky",R,Hartzler,Vicky,Vicky-Hartzler
133,N00041620,"Hawley, Josh",R,Hawley,Josh,Josh-Hawley
134,N00043421,"Hayes, Jahana",D,Hayes,Jahana,Jahana-Hayes
135,N00029835,"Heinrich, Martin",D,Heinrich,Martin,Martin-Heinrich
136,N00040829,"Hern, Kevin",R,Hern,Kevin,Kevin-Hern
137,N00032243,"Hice, Jody",R,Hice,Jody,Jody-Hice
138,N00039953,"Higgins, Clay",R,Higgins,Clay,Clay-Higgins
139,N00035792,"Hill, French",R,Hill,French,French-Hill
140,N00040644,"Hill, Katie",D,Hill,Katie,Katie-Hill
141,N00029070,"Himes, Jim",D,Himes,Jim,Jim-Himes
142,N00033399,"Holding, George",R,Holding,George,George-Holding
143,N00038429,"Hollingsworth, Trey",R,Hollingsworth,Trey,Trey-Hollingsworth
144,N00041394,"Horn, Kendra",D,Horn,Kendra,Kendra-Horn
145,N00033638,"Horsford, Steven",D,Horsford,Steven,Steven-Horsford
146,N00040949,"Houlahan, Chrissy",D,Houlahan,Chrissy,Chrissy-Houlahan
147,N00033630,"Hudson, Richard",R,Hudson,Richard,Richard-Hudson
148,N00033030,"Huffman, Jared",D,Huffman,Jared,Jared-Huffman
149,N00030673,"Huizenga, Bill",R,Huizenga,Bill,Bill-Huizenga
150,N00031417,"Hurd, Will",R,Hurd,Will,Will-Hurd
