Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
277,G K Butterfield (D-NC),"-$166,973","$1,314,509","$2,795,991",House
278,Dutch Ruppersberger (D-Md),"$279,029","$1,287,013","$2,294,997",House
279,Cathy McMorris Rodgers (R-Wash),"$222,021","$1,263,509","$2,304,997",House
280,Patrick J Tiberi (R-Ohio),"$605,030","$1,240,514","$1,875,999",House
281,Mark Takai (D-Hawaii),"$498,036","$1,234,517","$1,970,999",House
282,Kenneth R Buck (R-Colo),"$610,011","$1,206,005","$1,801,999",House
283,Kelly Ayotte (R-NH),"$570,014","$1,197,506","$1,824,999",Senate
284,Rand Paul (R-Ky),"$585,036","$1,193,018","$1,801,000",Senate
285,Bobby Scott (D-Va),"$42,081","$1,191,038","$2,339,996",House
286,Ann Kirkpatrick (D-Ariz),"$651,018","$1,181,008","$1,710,998",House
287,Reid Ribble (R-Wis),"$172,031","$1,178,515","$2,184,999",House
288,Daniel Milton Newhouse (R-Wash),"$708,013","$1,176,506","$1,645,000",House
289,Steven Palazzo (R-Miss),"$359,021","$1,169,508","$1,979,996",House
290,Jerry Moran (R-Kan),"$547,027","$1,164,513","$1,781,999",Senate
291,Martha Roby (R-Ala),"$593,039","$1,162,519","$1,731,999",House
292,Steve Stivers (R-Ohio),"$537,046","$1,159,523","$1,782,000",House
293,Elijah E Cummings (D-Md),"$194,014","$1,152,505","$2,110,997",House
294,Deb Fischer (R-Neb),"-$3,189,993","$1,130,003","$5,449,999",Senate
295,Don Young (R-Alaska),"$681,009","$1,123,004","$1,565,000",House
296,Larry Bucshon (R-Ind),"$1,104,097","$1,122,096","$1,140,095",House
297,David Cicilline (D-RI),"$702,004","$1,108,501","$1,514,999",House
298,Peter DeFazio (D-Ore),"$617,020","$1,099,009","$1,580,999",House
299,Jeff Duncan (R-SC),"$296,019","$1,098,007","$1,899,996",House
300,Frank A LoBiondo (R-NJ),"$50,106","$1,088,552","$2,126,998",House
301,Amy Klobuchar (D-Minn),"$550,030","$1,064,515","$1,579,000",Senate
303,Bill Shuster (R-Pa),"$629,020","$1,045,510","$1,462,000",House
304,Garret Graves (R-La),"$606,019","$1,012,009","$1,418,000",House
305,Mike Enzi (R-Wyo),"$387,057","$1,009,028","$1,631,000",Senate
306,Pedro Pierluisi (D-PR),"$786,004","$1,007,999","$1,229,995",House
307,Lucille Roybal-Allard (D-Calif),"$597,008","$1,006,503","$1,415,999",House
308,Brenda Lawrence (D-Mich),"$527,019","$983,509","$1,439,999",House
309,Charles W. Boustany Jr (R-La),"$825,070","$971,566","$1,118,063",House
310,Mike Honda (D-Calif),"$583,010","$964,005","$1,345,000",House
311,Paul Cook (R-Calif),"$558,016","$952,508","$1,347,000",House
312,John Sarbanes (D-Md),"$578,014","$936,507","$1,295,000",House
313,Peter Roskam (R-Ill),"$415,043","$932,521","$1,450,000",House
314,Ted Deutch (D-Fla),"$411,043","$928,021","$1,445,000",House
315,Scott Perry (R-Pa),"$313,020","$891,508","$1,469,997",House
317,Tom Graves (R-Ga),"$386,014","$888,006","$1,389,999",House
318,Glenn S Grothman (R-Wis),"$481,016","$885,508","$1,290,000",House
319,Mike Crapo (R-Idaho),"$484,278","$883,776","$1,283,274",Senate
320,Paul Gosar (R-Ariz),"$515,003","$882,501","$1,249,999",House
322,Bill Huizenga (R-Mich),"$525,015","$863,507","$1,202,000",House
323,Rick Nolan (D-Minn),"$518,008","$856,504","$1,195,000",House
324,Frank Guinta (R-NH),"$46,024","$854,010","$1,661,996",House
326,Tim Murphy (R-Pa),"$389,039","$849,519","$1,310,000",House
327,Eddie Bernice Johnson (D-Texas),"$531,004","$823,002","$1,115,000",House
328,Luke Messer (R-Ind),"$282,038","$816,018","$1,349,998",House
329,Joe Donnelly (D-Ind),"$187,012","$814,005","$1,440,998",Senate
330,Todd Rokita (R-Ind),-$945,"$809,525","$1,619,996",House
331,Steve Chabot (R-Ohio),"$397,025","$788,512","$1,180,000",House
332,Cheri Bustos (D-Ill),"$357,028","$781,014","$1,205,000",House
333,Charles E Schumer (D-NY),"$438,016","$779,008","$1,120,000",Senate
334,Sean Patrick Maloney (D-NY),"$502,003","$766,001","$1,030,000",House
335,John Carney (D-Del),"$319,040","$765,020","$1,211,000",House
336,Bennie G Thompson (D-Miss),"$369,025","$765,012","$1,161,000",House
337,Martha McSally (R-Ariz),"$362,037","$755,518","$1,149,000",House
338,Steve Fincher (R-Tenn),"$500,001","$750,000","$1,000,000",House
339,Dennis Ross (R-Fla),"-$3,514,998","$737,500","$4,989,999",House
340,Nydia M Velazquez (D-NY),"$485,001","$737,500","$990,000",House
341,Bruce Braley (D-Iowa),"$370,020","$735,010","$1,100,000",House
342,Bill Johnson (R-Ohio),"$323,029","$709,014","$1,095,000",House
343,Lynn Jenkins (R-Kan),"$323,015","$709,007","$1,094,999",House
344,Jared Huffman (D-Calif),"-$265,951","$693,024","$1,651,999",House
345,Jack Reed (D-RI),"$181,062","$689,531","$1,198,000",Senate
346,Bonnie Coleman (D-NJ),"$250,003","$685,000","$1,119,997",House
347,Bernie Sanders (I-Vt),"$211,039","$682,518","$1,153,998",Senate
348,Stephen F Lynch (D-Mass),"-$21,982","$680,007","$1,381,997",House
349,Ted Lieu (D-Calif),"$295,039","$678,519","$1,062,000",House
350,Mo Brooks (R-Ala),"$283,040","$677,520","$1,072,000",House
351,Don Donovan (R-NY),"$365,007","$675,503","$985,999",House
352,Ryan K Zinke (R-Mont),"$101,007","$675,502","$1,249,997",House
353,Marcia L Fudge (D-Ohio),"$106,011","$673,004","$1,239,998",House
354,Mimi Walters (R-Calif),"$231,008","$673,003","$1,114,999",House
355,Richard Nugent (R-Fla),"$242,538","$671,031","$1,099,525",House
356,Bob Casey (D-Pa),"$335,018","$668,509","$1,002,000",Senate
357,Janice Hahn (D-Calif),"$290,024","$657,512","$1,025,000",House
358,Daniel Webster (R-Fla),"$384,008","$647,004","$910,000",House
359,Henry Cuellar (D-Texas),"$30,017","$645,507","$1,260,998",House
360,Ed Royce (R-Calif),"$346,017","$643,508","$941,000",House
361,Marsha Blackburn (R-Tenn),"$346,016","$643,008","$940,000",House
362,Joe Wilson (R-SC),"-$529,990","$642,501","$1,814,993",House
363,Dave Brat (R-Va),"$337,014","$633,507","$930,000",House
364,John M Shimkus (R-Ill),"$117,009","$633,504","$1,149,999",House
365,Randy Weber (R-Texas),"$251,005","$633,002","$1,014,999",House
366,Grace Napolitano (D-Calif),"$268,006","$631,502","$994,999",House
367,Sherrod Brown (D-Ohio),"$382,006","$631,003","$880,000",Senate
368,Tom Marino (R-Pa),"$241,043","$630,539","$1,020,035",House
369,Barbara Lee (D-Calif),"$260,020","$630,009","$999,998",House
370,Edwin G Perlmutter (D-Colo),"$365,018","$623,509","$882,000",House
371,Patrick McHenry (R-NC),"$244,015","$620,006","$995,998",House
372,Joe Courtney (D-Conn),"$268,030","$619,015","$970,000",House
373,Bill Posey (R-Fla),"$182,011","$607,505","$1,032,999",House
374,Mike Coffman (R-Colo),"$353,008","$599,004","$845,000",House
375,John Moolenaar (R-Mich),"$125,079","$596,039","$1,067,000",House
376,Derek Kilmer (D-Wash),"$215,036","$591,518","$968,000",House
377,Erik Paulsen (R-Minn),"$234,036","$587,018","$940,000",House
379,Charlie Dent (R-Pa),"$201,043","$584,521","$968,000",House
380,Ruben Gallego (D-Ariz),"$117,017","$579,507","$1,041,998",House
381,Jason Chaffetz (R-Utah),"$68,013","$569,006","$1,069,999",House
