,chamber,member_name,party,net_worth_2010,net_worth_2011,2011_net_increase,net_worth_2012,2012_net_increase,net_worth_2013,2013_net_increase,net_worth_2014,2014_net_increase,net_worth_2015,2015_net_increase,net_worth_2016,2016_net_increase,defense_friendliness_rating_2010,defense_friendliness_rating_2012,defense_friendliness_rating_2014,defense_friendliness_rating_2016,energy_friendliness_rating_2010,energy_friendliness_rating_2012,energy_friendliness_rating_2014,energy_friendliness_rating_2016,tech_comm_friendliness_rating_2010,tech_comm_friendliness_rating_2012,tech_comm_friendliness_rating_2014,tech_comm_friendliness_rating_2016,health_friendliness_rating_2010,health_friendliness_rating_2012,health_friendliness_rating_2014,health_friendliness_rating_2016,finance_friendliness_rating_2010,finance_friendliness_rating_2012,finance_friendliness_rating_2014,finance_friendliness_rating_2016,2010_friendliness_avg,2012_friendliness_avg,2014_friendliness_avg,2016_friendliness_avg
574,House,"Schock, Aaron",R,100913.0,144186.0,42.88149197823868,535087.0,271.10884551898243,1023694.0,91.31356209364084,1475001.0,44.086123392341854,2100003.0,42.3729882217029,,,1.0,3.0,4.0,,4.0,5.0,4.0,1.0,4.0,4.0,4.0,1.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,1.0,3.6,4.4,4.4,1.0
575,House,"Hurt, Robert",R,99002.0,40002.0,-59.594755661501786,123003.0,207.4921253937303,238006.0,93.49609359121322,171006.0,-28.150550826449756,166507.0,-2.630901839701531,,,,4.0,3.0,2.0,,4.0,4.0,2.0,,3.0,2.0,1.0,,3.0,2.0,1.0,,5.0,5.0,3.0,,3.8,3.2,1.8
576,House,"Inglis, Bob",R,97501.0,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,2.0,,,,3.0,,,,2.25,,,
577,House,"Kissell, Larry",D,94004.0,206504.0,119.67575847836262,206504.0,0.0,,,,,,,,,4.0,4.0,,,2.0,3.0,,,2.0,2.0,,,3.0,3.0,,,2.0,2.0,,,2.6,2.8,,
578,House,"Murphy, Christopher",D,90503.0,,,,,,,,,,,,,3.0,4.0,1.0,1.0,4.0,4.0,1.0,2.0,5.0,5.0,2.0,4.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,4.0,4.4,4.6,1.8,3.0
579,House,"Pence, Mike",R,90007.0,82007.0,-8.888197584632307,211510.0,157.91700708476105,,,,,,,,,,1.0,,,5.0,1.0,,,4.0,1.0,,,4.0,1.0,,,5.0,1.0,,,4.5,1.0,,
580,Senate,"Kirk, Mark",R,89002.0,17501.0,-80.33639693490035,383001.0,2088.4520884520884,415003.0,8.355591760857022,441503.0,6.38549600846259,506504.0,14.72266326616127,,,5.0,3.0,3.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,4.0,5.0
581,House,"McCollum, Betty",D,88005.0,88005.0,0.0,112505.0,27.839327310948242,137005.0,21.77680991955913,137005.0,0.0,137005.0,0.0,-412995.0,-401.44520272982743,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.8,1.6,2.2,2.0
582,House,"Platts, Todd",R,84007.0,83008.0,-1.1891866154010975,107508.0,29.51522744795682,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,
583,House,"Napolitano, Grace",D,83001.0,208000.0,150.59939036879072,256502.0,23.318269230769232,631502.0,146.19769046635113,631502.0,0.0,806503.0,27.711867895905318,0.0,-100.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,1.6,1.4,1.6
584,House,"Barton, Joe",R,81002.0,266002.0,228.38942248339546,78501.0,-70.48856775512967,123502.0,57.32538439000777,123502.0,0.0,573503.0,364.36737866593256,466002.0,-18.74462731668361,,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.5,3.8,3.4,3.6
585,Senate,"Feingold, Russ",D,75500.0,,,,,,,,,,,,,3.0,,,,4.0,,,,5.0,,,,5.0,,,,5.0,,,,4.4,,,
586,House,"Marino, Tom",R,75478.0,81503.0,7.982458464718197,141446.0,73.54698600051532,177603.0,25.562405440945664,630539.0,255.0272236392403,707003.0,12.126767733637411,0.0,-100.0,,3.0,3.0,3.0,,3.0,4.0,4.0,,3.0,5.0,4.0,,3.0,4.0,4.0,,2.0,2.0,2.0,,2.8,3.6,3.4
587,House,"Lewis, John",D,72004.0,64504.0,-10.416087995111383,72004.0,11.627185910951258,40002.0,-44.44475306927393,10002.0,-74.99625018749062,10002.0,0.0,10002.0,0.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.8,3.2,2.2,2.8
