Candidate,Amount
"Burgess, Michael (R-TX)","$25,250"
"Marino, Tom (R-PA)","$25,000"
"Southerland, Steve (R-FL)","$24,890"
"Eshoo, Anna (D-CA)","$24,500"
"Johnson, Hank (D-GA)","$24,500"
"Scott, Bobby (D-VA)","$24,500"
"Tonko, Paul (D-NY)","$24,500"
"Cramer, Kevin (R-ND)","$24,000"
"Matsui, Doris O (D-CA)","$24,000"
"Wolf, Frank (R-VA)","$24,000"
"Foster, Bill (D-IL)","$23,900"
"Swalwell, Eric (D-CA)","$23,750"
"Renacci, Jim (R-OH)","$23,500"
"Shimkus, John (R-IL)","$23,500"
"Schneider, Brad (D-IL)","$23,350"
"Flores, Bill (R-TX)","$23,000"
"Young, Don (R-AK)","$22,800"
"Higgins, Brian M (D-NY)","$22,500"
"Williams, Roger (R-TX)","$22,250"
"Johnson, Eddie Bernice (D-TX)","$22,000"
"Welch, Peter (D-VT)","$22,000"
"Cicilline, David (D-RI)","$21,750"
"Bustos, Cheri (D-IL)","$21,700"
"Clark, Katherine (D-MA)","$21,600"
"Graves, Sam (R-MO)","$21,500"
"Long, Billy (R-MO)","$21,500"
"Bilirakis, Gus (R-FL)","$21,300"
"Kelly, Mike (R-PA)","$21,000"
"Quigley, Mike (D-IL)","$21,000"
"Gingrey, Phil (R-GA)","$20,350"
"Amodei, Mark (R-NV)","$20,000"
"Chabot, Steve (R-OH)","$20,000"
"Fincher, Steve (R-TN)","$20,000"
"Hahn, Janice (D-CA)","$20,000"
"Johnson, Bill (R-OH)","$20,000"
"Schweikert, David (R-AZ)","$20,000"
"Speier, Jackie (D-CA)","$20,000"
"Smith, Jason (R-MO)","$19,999"
"Brownley, Julia (D-CA)","$19,750"
"Capps, Lois (D-CA)","$19,750"
"Grisham, Michelle Lujan (D-NM)","$19,750"
"Duncan, Jeff (R-SC)","$19,500"
"McHenry, Patrick (R-NC)","$19,500"
"Rahall, Nick (D-WV)","$19,500"
"Carney, John (D-DE)","$19,275"
"Lowenthal, Alan (D-CA)","$19,050"
"Pearce, Steve (R-NM)","$19,000"
"Lucas, Frank D (R-OK)","$18,600"
"Collins, Doug (R-GA)","$18,500"
"Meeks, Gregory W (D-NY)","$18,500"
"Payne, Donald M Jr (D-NJ)","$18,500"
"Moore, Gwen (D-WI)","$18,100"
"Lipinski, Daniel (D-IL)","$18,000"
"Miller, Candice S (R-MI)","$18,000"
"Clay, William L Jr (D-MO)","$17,500"
"Hanna, Richard (R-NY)","$17,500"
"Neugebauer, Randy (R-TX)","$17,000"
"Tipton, Scott (R-CO)","$17,000"
"Capito, Shelley Moore (R-WV)","$16,550"
"Bass, Karen (D-CA)","$16,500"
"Bordallo, Madeleine Z (D-GU)","$16,500"
"Napolitano, Grace (D-CA)","$16,500"
"Ruiz, Raul (D-CA)","$16,300"
"Luetkemeyer, Blaine (R-MO)","$16,250"
"McGovern, James P (D-MA)","$16,250"
"Lofgren, Zoe (D-CA)","$15,700"
"Benishek, Dan (R-MI)","$15,600"
"Fudge, Marcia L (D-OH)","$15,500"
"Gowdy, Trey (R-SC)","$15,250"
"Bishop, Timothy H (D-NY)","$15,000"
"Delaney, John K (D-MD)","$15,000"
"Duffy, Sean P (R-WI)","$15,000"
"Griffin, Tim (R-AR)","$15,000"
"Poe, Ted (R-TX)","$15,000"
"Yoho, Ted (R-FL)","$15,000"
"Rokita, Todd (R-IN)","$14,500"
"Lewis, John (D-GA)","$14,000"
"Pitts, Joe (R-PA)","$14,000"
"Cummings, Elijah E (D-MD)","$13,500"
"Murphy, Tim (R-PA)","$13,500"
"Doyle, Mike (D-PA)","$13,200"
"Bonner, Jo (R-AL)","$13,000"
"Gerlach, Jim (R-PA)","$13,000"
"Hastings, Doc (R-WA)","$13,000"
"Scott, David (D-GA)","$13,000"
