Candidate,Amount
"Heinrich, Martin (D-NM)","$59,500"
"Risch, James E (R-ID)","$59,260"
"McCain, John (R-AZ)","$59,200"
"Kaine, Tim (D-VA)","$53,525"
"Flake, Jeff (R-AZ)","$52,500"
"Whitehouse, Sheldon (D-RI)","$50,750"
"Murphy, Christopher S (D-CT)","$50,474"
"Carper, Tom (D-DE)","$48,180"
"Nelson, Bill (D-FL)","$46,382"
"Boozman, John (R-AR)","$40,700"
"Manchin, Joe (D-WV)","$39,400"
"Tester, Jon (D-MT)","$38,300"
"Gillibrand, Kirsten (D-NY)","$35,950"
"McCaskill, Claire (D-MO)","$34,750"
"Fischer, Deb (R-NE)","$33,700"
"Murkowski, Lisa (R-AK)","$32,600"
"Warren, Elizabeth (D-MA)","$32,450"
"Corker, Bob (R-TN)","$30,148"
"Vitter, David (R-LA)","$29,500"
"Heitkamp, Heidi (D-ND)","$29,250"
"Feinstein, Dianne (D-CA)","$19,000"
"Shelby, Richard C (R-AL)","$18,000"
"Hirono, Mazie K (D-HI)","$15,250"
"Boxer, Barbara (D-CA)","$15,000"
"Hoeven, John (R-ND)","$14,850"
"Sanders, Bernie (I-VT)","$14,050"
"Leahy, Patrick (D-VT)","$5,950"
"Johnson, Tim (D-SD)","$3,500"
"King, Angus (I-ME)","$3,000"
"Wicker, Roger (R-MS)","-$1,500"
"Johanns, Mike (R-NE)","-$2,000"
"Cantwell, Maria (D-WA)","-$2,850"
"Lautenberg, Frank (D-NJ)","-$6,000"
"Rockefeller, Jay (D-WV)","-$6,000"
"Chambliss, Saxby (R-GA)","-$16,000"
"Harkin, Tom (D-IA)","-$41,000"
"Baucus, Max (D-MT)","-$48,338"
"Kerry, John (D-MA)","-$50,600"
