Candidate,Amount
"Manchin, Joe (D-WV)","$108,261"
"Stabenow, Debbie (D-MI)","$97,300"
"Corker, Bob (R-TN)","$90,930"
"Murkowski, Lisa (R-AK)","$87,500"
"Barrasso, John A (R-WY)","$76,000"
"Fischer, Deb (R-NE)","$67,050"
"Hoeven, John (R-ND)","$62,150"
"Grassley, Chuck (R-IA)","$59,950"
"Vitter, David (R-LA)","$57,200"
"Whitehouse, Sheldon (D-RI)","$51,450"
"Hirono, Mazie K (D-HI)","$49,950"
"Burr, Richard (R-NC)","$49,500"
"McCaskill, Claire (D-MO)","$45,900"
"Mikulski, Barbara A (D-MD)","$44,100"
"Flake, Jeff (R-AZ)","$44,075"
"Leahy, Patrick (D-VT)","$42,350"
"Nelson, Bill (D-FL)","$41,350"
"Baldwin, Tammy (D-WI)","$39,901"
"Warren, Elizabeth (D-MA)","$38,605"
"Boozman, John (R-AR)","$37,515"
"Cantwell, Maria (D-WA)","$35,800"
"Heinrich, Martin (D-NM)","$33,100"
"Boxer, Barbara (D-CA)","$30,250"
"King, Angus (I-ME)","$18,878"
"Feinstein, Dianne (D-CA)","$11,500"
"Wicker, Roger (R-MS)","$11,000"
"Sanders, Bernie (I-VT)","$6,200"
"Harkin, Tom (D-IA)","-$4,750"
"Coburn, Tom (R-OK)","-$6,000"
"Rockefeller, Jay (D-WV)","-$16,900"
"Johanns, Mike (R-NE)","-$24,404"
"Johnson, Tim (D-SD)","-$44,260"
"Chambliss, Saxby (R-GA)","-$67,720"
"Kerry, John (D-MA)","-$115,250"
