Candidate,Amount
"Zeldin, Lee (R-NY)","$74,500"
"Costa, Jim (D-CA)","$74,300"
"Jordan, Jim (R-OH)","$74,000"
"Poe, Ted (R-TX)","$73,900"
"Maloney, Carolyn B (D-NY)","$73,814"
"Noem, Kristi (R-SD)","$73,250"
"Graves, Sam (R-MO)","$72,700"
"Castro, Joaquin (D-TX)","$71,385"
"Messer, Luke (R-IN)","$70,550"
"Graves, Garret (R-LA)","$70,400"
"Perlmutter, Ed (D-CO)","$69,537"
"Emmer, Tom (R-MN)","$69,430"
"Duffy, Sean P (R-WI)","$69,250"
"Lewis, John (D-GA)","$68,475"
"Lowey, Nita M (D-NY)","$68,342"
"Reichert, Dave (R-WA)","$67,750"
"Dent, Charlie (R-PA)","$66,949"
"Takano, Mark (D-CA)","$66,649"
"Thompson, Bennie G (D-MS)","$66,500"
"Yarmuth, John A (D-KY)","$66,500"
"Graves, Tom (R-GA)","$66,430"
"Larson, John B (D-CT)","$66,050"
"Katko, John (R-NY)","$66,025"
"Meeks, Gregory W (D-NY)","$66,000"
"Titus, Dina (D-NV)","$65,900"
"Kelly, Mike (R-PA)","$65,700"
"Foxx, Virginia (R-NC)","$65,400"
"Smith, Adam (D-WA)","$65,000"
"Hensarling, Jeb (R-TX)","$64,869"
"Walberg, Tim (R-MI)","$64,850"
"Lance, Leonard (R-NJ)","$64,750"
"Ratcliffe, John Lee (R-TX)","$64,750"
"Mulvaney, Mick (R-SC)","$63,390"
"Buck, Ken (R-CO)","$62,250"
"Tipton, Scott (R-CO)","$62,190"
"Stivers, Steve (R-OH)","$61,405"
"Slaughter, Louise M (D-NY)","$61,304"
"Love, Mia (R-UT)","$61,086"
"Knight, Steve (R-CA)","$61,050"
"Sensenbrenner, Jim (R-WI)","$61,000"
"Conaway, Mike (R-TX)","$60,850"
"Griffith, Morgan (R-VA)","$60,765"
"Ros-Lehtinen, Ileana (R-FL)","$60,250"
"LaHood, Darin (R-IL)","$60,090"
"Vela, Filemon (D-TX)","$59,935"
"Sewell, Terri A (D-AL)","$59,200"
"Castor, Kathy (D-FL)","$59,100"
"Clark, Katherine (D-MA)","$58,868"
"Davis, Rodney (R-IL)","$58,375"
"Delaney, John K (D-MD)","$58,250"
"Fleming, John (R-LA)","$57,653"
"Forbes, Randy (R-VA)","$57,447"
"Diaz-Balart, Mario (R-FL)","$57,100"
"Bishop, Sanford (D-GA)","$56,730"
"Brady, Robert A (D-PA)","$56,150"
"Harper, Gregg (R-MS)","$55,650"
"Blumenauer, Earl (D-OR)","$55,284"
"Trott, Dave (R-MI)","$54,900"
"Langevin, Jim (D-RI)","$54,525"
"Kelly, Robin (D-IL)","$54,390"
"Hardy, Cresent (R-NV)","$53,750"
"Graham, Gwen (D-FL)","$53,017"
"Larsen, Rick (D-WA)","$51,450"
"Aderholt, Robert B (R-AL)","$51,300"
"Hunter, Duncan D (R-CA)","$50,900"
"Murphy, Tim (R-PA)","$50,000"
"Valadao, David (R-CA)","$49,200"
"Bucshon, Larry (R-IN)","$49,100"
"Cohen, Steve (D-TN)","$49,000"
"Cleaver, Emanuel (D-MO)","$48,975"
"Meng, Grace (D-NY)","$48,300"
"Grisham, Michelle Lujan (D-NM)","$48,285"
"Zinke, Ryan K (R-MT)","$48,186"
"Stewart, Chris (R-UT)","$48,000"
"Mica, John L (R-FL)","$47,000"
"Boyle, Brendan (D-PA)","$46,850"
